,IATA,ICAO,Airport name,Location served,Time,DST
2559,GIF,KGIF,Winter Haven's Gilbert Airport,"Winter Haven, Florida, United States",UTC−05:00,Mar-Nov
2560,GIG,SBGL,Rio de Janeiro–Galeão International Airport,"Rio de Janeiro, Brazil",UTC−03:00,Oct-Feb
2561,GII,GUSI,Siguiri Airport,"Siguiri, Guinea",UTC±00:00,
2562,GIL,OPGT,Gilgit Airport,"Gilgit, Pakistan",UTC+05:00,
2563,GIM,,Miele Mimbale Airport,"Miele Mimbale, Gabon",UTC+01:00,
2564,GIR,SKGI,Santiago Vila Airport,"Girardot, Colombia",UTC−05:00,
2565,GIS,NZGS,Gisborne Airport,"Gisborne, New Zealand",UTC+12:00,Sep-Apr
2566,GIT,,Geita Airport,"Geita, Tanzania",UTC+03:00,
2567,GIU,VCCS,Sigiriya Airport[2],"Dambulla, Sri Lanka",UTC+05:30,
2568,GIY,FAGI,Giyani Airport,"Giyani, South Africa",UTC+02:00,
2569,GIZ,OEGN,Jizan Regional Airport (King Abdullah bin Abdulaziz Airport),"Jizan, Saudi Arabia",UTC+03:00,
2570,GJA,MHNJ,Guanaja Airport,"Guanaja, Honduras",UTC−06:00,
2571,GJL,DAAV,Jijel Ferhat Abbas Airport,"Jijel, Algeria",UTC+01:00,
2572,GJM,SBGM,Guajará-Mirim Airport,"Guajará-Mirim, Rondônia, Brazil",UTC−04:00,
2573,GJR,BIGJ,Gjögur Airport,"Gjögur, Iceland",UTC±00:00,
2574,GJT,KGJT,Grand Junction Regional Airport (Walker Field),"Grand Junction, Colorado, United States",UTC−07:00,Mar-Nov
2575,GKA,AYGA,Goroka Airport,"Goroka, Papua New Guinea",UTC+10:00,
2576,GKD,LTFK,Gökçeada Airport,"Gökçeada, Turkey",UTC+03:00,
2577,GKE,ETNG,NATO Air Base Geilenkirchen,"Geilenkirchen, North Rhine-Westphalia, Germany",UTC+01:00,Mar-Oct
2578,GKH,VNGK,Palungtar Airport,"Gorkha, Nepal",UTC+05:45,
2579,GKK,VRMO,Kooddoo Airport[2],"Kooddoo, Gaafu Alif Atoll, Maldives",UTC+05:00,
2580,GKL,YGKL,Great Keppel Island Airport,"Great Keppel Island, Queensland, Australia",UTC+10:00,
2581,GKN,PAGK,Gulkana Airport,"Gulkana, Alaska, United States",UTC−09:00,Mar-Nov
2582,GKO,,Kongo Boumba Airport,"Kongo Boumba, Gabon",UTC+01:00,
2583,GKT,KGKT,Gatlinburg–Pigeon Forge Airport,"Sevierville, Tennessee, United States",UTC−05:00,Mar-Nov
2584,GLA,EGPF,Glasgow Airport,"Glasgow, Scotland, United Kingdom",UTC±00:00,Mar-Oct
2585,GLB,,San Carlos Apache Airport[2] (FAA: P13),"Globe, Arizona, United States",UTC−07:00,
2586,GLC,,Geladi Airport,"Geladi, Ethiopia",UTC+03:00,
2587,GLD,KGLD,Goodland Municipal Airport (Renner Field),"Goodland, Kansas, United States",UTC−07:00,Mar-Nov
2588,GLE,KGLE,Gainesville Municipal Airport,"Gainesville, Texas, United States",UTC−06:00,Mar-Nov
2589,GLF,MRGF,Golfito Airport,"Golfito, Costa Rica",UTC−06:00,
2590,GLG,YGLE,Glengyle Airport,"Glengyle, Queensland, Australia",UTC+10:00,
2591,GLH,KGLH,Mid-Delta Regional Airport,"Greenville, Mississippi, United States",UTC−06:00,Mar-Nov
2592,GLI,YGLI,Glen Innes Airport,"Glen Innes, New South Wales, Australia",UTC+10:00,Oct-Apr
2593,GLK,HCMR,Abdullahi Yusuf International Airport,"Galkayo, Somalia",UTC+03:00,
2594,GLL,ENKL,"Gol Airport, Klanten","Gol, Norway",UTC+01:00,Mar-Oct
2595,GLM,YGLO,Glenormiston Airport,"Glenormiston, Queensland, Australia",UTC+10:00,
2596,GLN,,Guelmim Airport,"Guelmim, Morocco",UTC±00:00,Mar-Oct1
2597,GLO,EGBJ,Gloucestershire Airport,"Gloucester / Cheltenham, England, United Kingdom",UTC±00:00,Mar-Oct
2598,GLP,AYUP,Gulgubip Airport,"Gulgubip, Papua New Guinea",UTC+10:00,
2599,GLR,KGLR,Gaylord Regional Airport,"Gaylord, Michigan, United States",UTC−05:00,Mar-Nov
2600,GLS,KGLS,Scholes International Airport at Galveston,"Galveston, Texas, United States",UTC−06:00,Mar-Nov
2601,GLT,YGLA,Gladstone Airport,"Gladstone, Queensland, Australia",UTC+10:00,
2602,GLU,VQGP,Gelephu Airport[2],"Gelephu, Bhutan",UTC+06:00,
2603,GLV,PAGL,Golovin Airport,"Golovin, Alaska, United States",UTC−09:00,Mar-Nov
2604,GLW,KGLW,Glasgow Municipal Airport,"Glasgow, Kentucky, United States",UTC−06:00,Mar-Nov
2605,GLX,WAMA,Gamarmalamo Airport,"Galela, Indonesia",UTC+09:00,
2606,GLY,,Goldsworthy Airport,"Goldsworthy, Western Australia, Australia",UTC+08:00,
2607,GLZ,EHGR,Gilze-Rijen Air Base,"Breda, Netherlands",UTC+01:00,Mar-Oct
2608,GMA,FZFK,Gemena Airport,"Gemena, Democratic Republic of the Congo",UTC+01:00,
2609,GMB,HAGM,Gambela Airport,"Gambela, Ethiopia",UTC+03:00,
2610,GMC,,Guerima Airport,"Guerima, Colombia",UTC−05:00,
